name,lastname,phone,birthdate,adress
Pepe,gonzalez,157283740,15/07/81,Fruta 223
juan,gomes,167293840,15/07/87,siempre viva 234
gillermo,rodriguez,123858499,15/07/93,Corrientes 123
pedro,perez,123984912,15/07/99,Falsa 123
roberto,croce,113947290,24/07/76,Cordoba 455
federico,contreras,3759282,24/07/77,Libertador 235
alejandro,diaz,157283741,24/07/78,Blabl 23
brian,martinez,167293841,24/07/79,-
agustin,alvarez,123858500,24/07/80,no se 800
ignacio,cordoba,123984913,24/07/81,Chile 1233
guido,godines,113947291,24/07/82,9 de julio 123
candela,estevanez,3759283,24/07/83,-
graciela,suar,157283742,24/07/84,san juan 213
daniela,acosta,167293842,24/07/85,Directorio 214
marta,acero,123858501,24/07/86,san pedro 9123
mirta,agudo,123984914,24/07/87,--
